emoji,name,slug,group,emoji_version,unicode_version,skin_tone_support,fuzzy_search
😀,grinning face,grinning_face,Smileys & Emotion,1.0,1.0,False,grinning face grinning_face Smileys & Emotion
😃,grinning face with big eyes,grinning_face_with_big_eyes,Smileys & Emotion,0.6,0.6,False,grinning face with big eyes grinning_face_with_big_eyes Smileys & Emotion
😄,grinning face with smiling eyes,grinning_face_with_smiling_eyes,Smileys & Emotion,0.6,0.6,False,grinning face with smiling eyes grinning_face_with_smiling_eyes Smileys & Emotion
😁,beaming face with smiling eyes,beaming_face_with_smiling_eyes,Smileys & Emotion,0.6,0.6,False,beaming face with smiling eyes beaming_face_with_smiling_eyes Smileys & Emotion
😆,grinning squinting face,grinning_squinting_face,Smileys & Emotion,0.6,0.6,False,grinning squinting face grinning_squinting_face Smileys & Emotion
😅,grinning face with sweat,grinning_face_with_sweat,Smileys & Emotion,0.6,0.6,False,grinning face with sweat grinning_face_with_sweat Smileys & Emotion
🤣,rolling on the floor laughing,rolling_on_the_floor_laughing,Smileys & Emotion,3.0,3.0,False,rolling on the floor laughing rolling_on_the_floor_laughing Smileys & Emotion
😂,face with tears of joy,face_with_tears_of_joy,Smileys & Emotion,0.6,0.6,False,face with tears of joy face_with_tears_of_joy Smileys & Emotion
🙂,slightly smiling face,slightly_smiling_face,Smileys & Emotion,1.0,1.0,False,slightly smiling face slightly_smiling_face Smileys & Emotion
🙃,upside-down face,upside_down_face,Smileys & Emotion,1.0,1.0,False,upside down face upside_down_face Smileys & Emotion
🫠,melting face,melting_face,Smileys & Emotion,14.0,14.0,False,melting face melting_face Smileys & Emotion
😉,winking face,winking_face,Smileys & Emotion,0.6,0.6,False,winking face winking_face Smileys & Emotion
😊,smiling face with smiling eyes,smiling_face_with_smiling_eyes,Smileys & Emotion,0.6,0.6,False,smiling face with smiling eyes smiling_face_with_smiling_eyes Smileys & Emotion
😇,smiling face with halo,smiling_face_with_halo,Smileys & Emotion,1.0,1.0,False,smiling face with halo smiling_face_with_halo Smileys & Emotion
🥰,smiling face with hearts,smiling_face_with_hearts,Smileys & Emotion,11.0,11.0,False,smiling face with hearts smiling_face_with_hearts Smileys & Emotion
😍,smiling face with heart-eyes,smiling_face_with_heart_eyes,Smileys & Emotion,0.6,0.6,False,smiling face with heart eyes smiling_face_with_heart_eyes Smileys & Emotion
🤩,star-struck,star_struck,Smileys & Emotion,5.0,5.0,False,star struck star_struck Smileys & Emotion
😘,face blowing a kiss,face_blowing_a_kiss,Smileys & Emotion,0.6,0.6,False,face blowing a kiss face_blowing_a_kiss Smileys & Emotion
😗,kissing face,kissing_face,Smileys & Emotion,1.0,1.0,False,kissing face kissing_face Smileys & Emotion
☺️,smiling face,smiling_face,Smileys & Emotion,0.6,0.6,False,smiling face smiling_face Smileys & Emotion
😚,kissing face with closed eyes,kissing_face_with_closed_eyes,Smileys & Emotion,0.6,0.6,False,kissing face with closed eyes kissing_face_with_closed_eyes Smileys & Emotion
😙,kissing face with smiling eyes,kissing_face_with_smiling_eyes,Smileys & Emotion,1.0,1.0,False,kissing face with smiling eyes kissing_face_with_smiling_eyes Smileys & Emotion
🥲,smiling face with tear,smiling_face_with_tear,Smileys & Emotion,13.0,13.0,False,smiling face with tear smiling_face_with_tear Smileys & Emotion
😋,face savoring food,face_savoring_food,Smileys & Emotion,0.6,0.6,False,face savoring food face_savoring_food Smileys & Emotion
😛,face with tongue,face_with_tongue,Smileys & Emotion,1.0,1.0,False,face with tongue face_with_tongue Smileys & Emotion
😜,winking face with tongue,winking_face_with_tongue,Smileys & Emotion,0.6,0.6,False,winking face with tongue winking_face_with_tongue Smileys & Emotion
🤪,zany face,zany_face,Smileys & Emotion,5.0,5.0,False,zany face zany_face Smileys & Emotion
😝,squinting face with tongue,squinting_face_with_tongue,Smileys & Emotion,0.6,0.6,False,squinting face with tongue squinting_face_with_tongue Smileys & Emotion
🤑,money-mouth face,money_mouth_face,Smileys & Emotion,1.0,1.0,False,money mouth face money_mouth_face Smileys & Emotion
🤗,smiling face with open hands,smiling_face_with_open_hands,Smileys & Emotion,1.0,1.0,False,smiling face with open hands smiling_face_with_open_hands Smileys & Emotion
🤭,face with hand over mouth,face_with_hand_over_mouth,Smileys & Emotion,5.0,5.0,False,face with hand over mouth face_with_hand_over_mouth Smileys & Emotion
🫢,face with open eyes and hand over mouth,face_with_open_eyes_and_hand_over_mouth,Smileys & Emotion,14.0,14.0,False,face with open eyes and hand over mouth face_with_open_eyes_and_hand_over_mouth Smileys & Emotion
🫣,face with peeking eye,face_with_peeking_eye,Smileys & Emotion,14.0,14.0,False,face with peeking eye face_with_peeking_eye Smileys & Emotion
🤫,shushing face,shushing_face,Smileys & Emotion,5.0,5.0,False,shushing face shushing_face Smileys & Emotion
🤔,thinking face,thinking_face,Smileys & Emotion,1.0,1.0,False,thinking face thinking_face Smileys & Emotion
🫡,saluting face,saluting_face,Smileys & Emotion,14.0,14.0,False,saluting face saluting_face Smileys & Emotion
🤐,zipper-mouth face,zipper_mouth_face,Smileys & Emotion,1.0,1.0,False,zipper mouth face zipper_mouth_face Smileys & Emotion
🤨,face with raised eyebrow,face_with_raised_eyebrow,Smileys & Emotion,5.0,5.0,False,face with raised eyebrow face_with_raised_eyebrow Smileys & Emotion
😐,neutral face,neutral_face,Smileys & Emotion,0.7,0.7,False,neutral face neutral_face Smileys & Emotion
😑,expressionless face,expressionless_face,Smileys & Emotion,1.0,1.0,False,expressionless face expressionless_face Smileys & Emotion
😶,face without mouth,face_without_mouth,Smileys & Emotion,1.0,1.0,False,face without mouth face_without_mouth Smileys & Emotion
🫥,dotted line face,dotted_line_face,Smileys & Emotion,14.0,14.0,False,dotted line face dotted_line_face Smileys & Emotion
😶‍🌫️,face in clouds,face_in_clouds,Smileys & Emotion,13.1,13.1,False,face in clouds face_in_clouds Smileys & Emotion
😏,smirking face,smirking_face,Smileys & Emotion,0.6,0.6,False,smirking face smirking_face Smileys & Emotion
😒,unamused face,unamused_face,Smileys & Emotion,0.6,0.6,False,unamused face unamused_face Smileys & Emotion
