emoji,name,slug,group
😀,grinning face,grinning_face,
😃,grinning face with big eyes,grinning_face_with_big_eyes,
😄,grinning face with smiling eyes,grinning_face_with_smiling_eyes,
😁,beaming face with smiling eyes,beaming_face_with_smiling_eyes,
😆,grinning squinting face,grinning_squinting_face,
😅,grinning face with sweat,grinning_face_with_sweat,
🤣,rolling on the floor laughing,rolling_on_the_floor_laughing,
😂,face with tears of joy,face_with_tears_of_joy,
🙂,slightly smiling face,slightly_smiling_face,
🙃,upside-down face,upside_down_face,
🫠,melting face,melting_face,
😉,winking face,winking_face,
😊,smiling face with smiling eyes,smiling_face_with_smiling_eyes,
😇,smiling face with halo,smiling_face_with_halo,
🥰,smiling face with hearts,smiling_face_with_hearts,
😍,smiling face with heart-eyes,smiling_face_with_heart_eyes,
🤩,star-struck,star_struck,
😘,face blowing a kiss,face_blowing_a_kiss,
😗,kissing face,kissing_face,
☺️,smiling face,smiling_face,
😚,kissing face with closed eyes,kissing_face_with_closed_eyes,
😙,kissing face with smiling eyes,kissing_face_with_smiling_eyes,
🥲,smiling face with tear,smiling_face_with_tear,
😋,face savoring food,face_savoring_food,
😛,face with tongue,face_with_tongue,
😜,winking face with tongue,winking_face_with_tongue,
🤪,zany face,zany_face,
😝,squinting face with tongue,squinting_face_with_tongue,
🤑,money-mouth face,money_mouth_face,
🤗,smiling face with open hands,smiling_face_with_open_hands,
🤭,face with hand over mouth,face_with_hand_over_mouth,
🫢,face with open eyes and hand over mouth,face_with_open_eyes_and_hand_over_mouth,
🫣,face with peeking eye,face_with_peeking_eye,
🤫,shushing face,shushing_face,
🤔,thinking face,thinking_face,
🫡,saluting face,saluting_face,
🤐,zipper-mouth face,zipper_mouth_face,
🤨,face with raised eyebrow,face_with_raised_eyebrow,
😐,neutral face,neutral_face,
😑,expressionless face,expressionless_face,
😶,face without mouth,face_without_mouth,
🫥,dotted line face,dotted_line_face,
😶‍🌫️,face in clouds,face_in_clouds,
😏,smirking face,smirking_face,
😒,unamused face,unamused_face,
🙄,face with rolling eyes,face_with_rolling_eyes,
😬,grimacing face,grimacing_face,
😮‍💨,face exhaling,face_exhaling,
🤥,lying face,lying_face,
🫨,shaking face,shaking_face,
🙂‍↔️,head shaking horizontally,head_shaking_horizontally,
🙂‍↕️,head shaking vertically,head_shaking_vertically,
😌,relieved face,relieved_face,
😔,pensive face,pensive_face,
😪,sleepy face,sleepy_face,
🤤,drooling face,drooling_face,
😴,sleeping face,sleeping_face,
🫩,face with bags under eyes,face_with_bags_under_eyes,
😷,face with medical mask,face_with_medical_mask,
🤒,face with thermometer,face_with_thermometer,
🤕,face with head-bandage,face_with_head_bandage,
🤢,nauseated face,nauseated_face,
🤮,face vomiting,face_vomiting,
🤧,sneezing face,sneezing_face,
🥵,hot face,hot_face,
🥶,cold face,cold_face,
🥴,woozy face,woozy_face,
😵,face with crossed-out eyes,face_with_crossed_out_eyes,
😵‍💫,face with spiral eyes,face_with_spiral_eyes,
🤯,exploding head,exploding_head,
🤠,cowboy hat face,cowboy_hat_face,
🥳,partying face,partying_face,
🥸,disguised face,disguised_face,
😎,smiling face with sunglasses,smiling_face_with_sunglasses,
🤓,nerd face,nerd_face,
🧐,face with monocle,face_with_monocle,
😕,confused face,confused_face,
🫤,face with diagonal mouth,face_with_diagonal_mouth,
😟,worried face,worried_face,
🙁,slightly frowning face,slightly_frowning_face,
☹️,frowning face,frowning_face,
😮,face with open mouth,face_with_open_mouth,
😯,hushed face,hushed_face,
😲,astonished face,astonished_face,
😳,flushed face,flushed_face,
🥺,pleading face,pleading_face,
🥹,face holding back tears,face_holding_back_tears,
😦,frowning face with open mouth,frowning_face_with_open_mouth,
😧,anguished face,anguished_face,
😨,fearful face,fearful_face,
😰,anxious face with sweat,anxious_face_with_sweat,
😥,sad but relieved face,sad_but_relieved_face,
😢,crying face,crying_face,
😭,loudly crying face,loudly_crying_face,
😱,face screaming in fear,face_screaming_in_fear,
😖,confounded face,confounded_face,
😣,persevering face,persevering_face,
😞,disappointed face,disappointed_face,
😓,downcast face with sweat,downcast_face_with_sweat,
😩,weary face,weary_face,
😫,tired face,tired_face,
🥱,yawning face,yawning_face,
